task_id,image_pairs,distance_without_LM,distance_with_LM
1,1--2,2.377319273432944,2.376944652085061
1,2--3,16.07832015074353,16.078222761917246
1,3--4,19.675278844498816,19.67241708249937
1,4--5,4.644345699984616,4.629193970997811
2,11--12,17.01240064121859,16.990042966271105
2,12--13,20.840940433018183,20.811180360364645
2,13--14,33.59698191514768,33.59675561319408
2,14--15,40.5491426999741,40.50984705094602
